,nama_barang,harga
0,Iphone 11 64Gb (New/Baru) Garansi Resmi I-BOX 1 TAHUN,12850000
1,Iphone 11 128GB Black garansi IBOX,11800000
2,SALE IPHONE 7 32GB SILVER,3500000
3,"Iphone 11 64gb Grs Resmi Ibox (Warna : Black,White,Red,Purple)",12700000
4,IPhone 11 64GB Ibox Kredit low Dp Promo Weekend,12999000
5,IPHONE 11 PRO 64GB Promo DP MURAH CICILAN RINGAN,16999000
6,iphone 6 64 silver gray,1550000
7,Iphone 6 32GB ibox,1750000
8,Iphone x BH 100% 64Gb Tt Samsung Note 9 10 20 s9 s10 s20 plus ultra,8300000
9,iPhone SE 2020 64GB IBOX Kredit Low Dp Promo Weekend,7999000
10,iPhone 8 plus 256GB second grey ex inter mulus,6200000
11,iPhone Xr 128gb Fullset istimewa kak murah nih,8480000
12,Service iPhone iPad dan Android,100000
13,iPhone 8 256gb fullset murah mantap bosku gas,5350000
14,Iphone 11 128GB,11500000
15,Iphone 11 Black 128 GB OS14,12500000
16,Iphone 6s plus 16 gb gold fullset,2100000
17,Iphone 7 256gb fullset,3600000
18,Second iPhone 6s plus 64gb murah fullset mantap kak,3450000
19,iPhone 8 Plus 256Gb Istimewa,6799000
